사업장명,도로명전체주소,소재지전화
건강한지압안마원,"서울특별시 송파구 백제고분로48길 4, 3층 (방이동)",02-371-0816
영안마시술소,"서울특별시 송파구 오금로11길 11-8, 현대드림밸리 지하1층 (방이동)",02-425-3633
전통약손안마원,"서울특별시 은평구 통일로 833-5, 2층 201,202호 (대조동)",02-389-3897
이조은안마원,"서울특별시 은평구 통일로67길 11, 201호 (대조동, 해오름시티)",02-354-8575
은평건강안마원,서울특별시 은평구 은평로13길 3-1 (응암동),02-358-9675
가고파안마원,"울산광역시 남구 봉월로 162, 2층층 (신정동)",227-1003
손박사지압안마원,"서울특별시 영등포구 여의대방로 197, 2층 (신길동)",02-822-4441
힐링안마수기센터,"광주광역시 서구 치평로 116, 3층 304호 (치평동, 월계수타운)",
미건 약손 지압센타,"광주광역시 서구 하남대로 700, 대영빌딩 3층 302호 (동천동)",062-528-7575
태양안마원,"경기도 이천시 서희로 45, 2층 (중리동)",
보은통증지압안마원,"대전광역시 동구 동산초교로 29, 1층 (홍도동)",042-631-7374
약손공간지압안마원,"경기도 부천시 경인로3번길 24, 2층4호 2층5호일부호 (송내동, 송내동성호아파트)",032-666-8588
전통경락안마원,"경상북도 경주시 동문로 64, 장미동산 타워 상가동 204호 (성동동)",
영종안마원,"인천광역시 중구 영종대로 100, 신성하우스빌 2층 204호 (운서동)",032-752-2080
밝은세상안마원 두류역점,"대구광역시 달서구 두류공원로 267, 2층 (두류동)",053-658-8885
대명안마원,"서울특별시 강서구 까치산로 23-9, 주병빌딩 3층 (화곡동)",226032354
우리전통안마원,"부산광역시 연제구 과정로 202, 2층 (연산동)",
참손길힐링센터,"서울특별시 금천구 가산디지털1로 171, 가산 에스케이 브이원 센터 206호 (가산동)",269563175
수성매니어건강안마원,"대구광역시 수성구 범어로16길 14, 2층 (범어동)",053-754-8388
힐링안마원,"경기도 동두천시 강변로454번길 2, 1층 (생연동)",
톡톡건강안마원,"부산광역시 해운대구 대천로 205, 303호 (좌동, 벽산1차아파트)",
참손길지압힐링안마원,"서울특별시 강서구 공항대로 269-15, 힐스테이트에코마곡 318호 (마곡동)",15448538
천마힐링안마원,"경기도 남양주시 화도읍 먹갓로 64, 104호",031-559-7001
정다운안마원,"부산광역시 사하구 다대로 704, 몰운대종합시장상가 4층 401호 (다대동)",051-262-3089
가온안마지압원,"부산광역시 수영구 수영로 691-10, 2층 (수영동)",051-759-7577
건강지압센타참손,"광주광역시 광산구 첨단중앙로68번길 99, 상가동 2층 213-3호 (산월동, 호반리젠시빌)",629727579
가람안마센터,"인천광역시 중구 하늘별빛로65번길 7-9, 스카이타워 502호 (중산동)",032-751-3746
라파지압안마원,"경상남도 양산시 물금읍 청운로 185, 오즈시티 2층 209호",055-383-0499
스머프 안마시술소,"충청북도 제천시 용두천로 10, 1~3층 (영천동)",
푸른안마치유센타,전라남도 영암군 영암읍 천황사로 53,471-0770
더나은안마원,"서울특별시 도봉구 도봉로153길 13, 2층 (방학동)",
평강안마지압원,광주광역시 북구 자동차로47번길 36 (임동),062-527-6664
건강지압안마원,"부산광역시 부산진구 가야대로 761, 3층 (부전동)",051-711-6722
따뜻한 손 안마원,경기도 양평군 양평읍 남북로 9,
찐지압안마원,"서울특별시 관악구 관악로 234, 2층 (봉천동)",
약손안마원,"충청북도 충주시 충인8길 30-1, 1층 (충인동)",043-844-7495
참편안안마원,경상남도 진주시 의곡길 3 (평안동),
찐안마원,"부산광역시 동래구 명장로 56-1, 2층 (명장동)",051-532-8585
효자손안마원,"대구광역시 북구 팔달로33길 16-18, 4층 (노원동3가)",533517780
우리케어 안마원,경기도 동두천시 동두천로 340-17 (생연동),
무병장수안마원,"경상남도 함안군 가야읍 가야10길 13, 7호 (전원아파트)",055-582-7006
인천중앙안마원,"인천광역시 남동구 구월로 235, 지하1층 일부호 (구월동)",
쿠라시온안마원,"경기도 성남시 분당구 황새울로258번길 32, 코리아나빌딩 307호 (수내동)",031-714-8897
임성택안마원,"대구광역시 달서구 성서로 374, 3층 (이곡동)",535851171
상주척추안마원,경상북도 상주시 동수로 69(서문동),054-564-0298
서현지압안마센터,"경기도 부천시 소사로 775, 2층일부 (원종동)",032-673-7274
활기지압안마원,"경기도 수원시 영통구 효원로 393, 밀래니엄프라자 307호 (매탄동)",312124588
동해건강안마센타안마원,"강원도 동해시 한섬로 55, 현대열쇠 1층 (천곡동)",
A 안마시술소,"울산광역시 동구 방어진순환도로 602-1, 4,5층 (화정동)",
추나안마원,"경기도 고양시 덕양구 내유길 38-22, 지1층 비100호 (내유동)",
제일약손지압안마원,"경상남도 사천시 사천읍 정의길 41, 1층",055-855-9675
웰빙안마시술소,"서울특별시 송파구 송파대로28길 32, 올림피아오피스텔 B1층 (가락동)",02-443-0231
약손안마원,"경기도 가평군 조종면 조종새싹로 20-5, 현대정육점",
동암안마원,"인천광역시 부평구 열우물로87번길 33, 1층 2호 (십정동)",
장성안마원,"경상북도 포항시 북구 새천년대로1076번길 27-6, 3층 (두호동)",
